Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2010-04-22,9.516786,123.451241,71.029999,27.155001,64.760002,64.779999,26.24,15.635674,54.490002
2010-04-23,9.6725,124.273422,71.150002,26.940001,64.709999,65.040001,26.48,16.043644,54.529999
2010-04-26,9.625,124.980881,71.019997,26.865,65.019997,64.760002,26.469999,15.958254,54.040001
2010-04-27,9.358571,123.154877,70.529999,26.434999,64.230003,64.279999,25.98,15.616698,54.040001
2010-04-28,9.342857,124.378586,70.339996,26.68,64.75,64.620003,25.860001,15.683112,53.610001
2010-04-29,9.594286,124.722755,71.519997,26.870001,65.199997,65.010002,25.969999,15.996205,53.700001
2010-04-30,9.324643,123.326958,70.589996,26.725,65.220001,64.300003,25.870001,15.863378,53.639999
2010-05-03,9.5125,123.900574,71.419998,26.879999,65.690002,65.330002,26.01,16.043644,53.740002
2010-05-04,9.238571,122.485657,70.639999,26.59,65.43,64.699997,24.969999,16.375711,54.02
2010-05-05,9.1425,121.854683,70.660004,26.83,65.199997,65.139999,24.940001,16.29981,54.77
2010-05-06,8.794643,118.47036,69.419998,26.15,64.699997,63.400002,23.91,15.882353,53.23
2010-05-07,8.423571,116.7304,68.010002,26.334999,64.57,63.310001,23.41,15.616698,52.400002
2010-05-10,9.071071,120.717018,70.580002,27.02,66.410004,64.75,24.389999,16.129032,52.580002
2010-05-11,9.161429,121.309753,70.480003,26.805,66.550003,64.669998,24.190001,16.138519,52.459999
2010-05-12,9.360357,126.845123,70.669998,27.01,66.940002,64.900002,24.6,16.034157,52.48
2010-05-13,9.227143,125.697899,70.5,26.745001,66.480003,64.669998,24.24,15.711575,52.400002
2010-05-14,9.065,125.420647,69.589996,26.67,66.07,63.970001,23.780001,15.370019,52.119999
2010-05-17,9.079286,124.703636,70.139999,26.705,66.75,63.880001,23.74,15.28463,52.73
2010-05-18,9.012857,124.235184,70.019997,26.549999,66.529999,62.970001,23.43,15.0,53.709999
2010-05-19,8.869286,123.193115,69.400002,26.559999,66.040001,62.220001,23.190001,15.009488,53.040001
2010-05-20,8.491429,118.355644,67.660004,25.77,63.860001,60.549999,22.35,14.449715,51.299999
2010-05-21,8.654286,119.904396,67.860001,25.795,63.580002,60.880001,22.16,14.611006,51.369999
2010-05-24,8.812857,118.977058,67.660004,25.73,63.32,60.57,22.280001,14.440228,51.0
2010-05-25,8.757857,119.043976,67.839996,25.309999,62.889999,60.349998,22.200001,14.288425,50.279999
2010-05-26,8.718214,117.810707,66.010002,25.040001,61.23,59.66,21.91,14.335863,50.02
2010-05-27,9.048214,120.831741,67.199997,25.615,62.900002,59.029999,22.58,14.582543,50.700001
2010-05-28,9.174286,119.751434,66.870003,25.700001,62.889999,58.299999,22.57,14.449715,50.560001
2010-06-01,9.315357,118.871895,66.360001,25.645,62.759998,58.759998,22.200001,14.222011,50.919998
2010-06-02,9.426786,121.806885,67.769997,26.205,63.459999,59.73,22.639999,14.421252,51.720001
2010-06-03,9.397143,122.332695,67.849998,26.375,63.369999,59.77,22.84,14.449715,51.720001
2010-06-04,9.141429,119.770554,66.699997,25.635,61.439999,58.009998,22.129999,14.003795,50.400002
2010-06-07,8.962143,118.671127,66.75,25.4,61.73,58.0,21.700001,13.776091,50.740002
2010-06-08,8.904643,118.27916,68.379997,25.780001,62.650002,58.639999,21.76,13.804554,50.779999
2010-06-09,8.685714,118.451241,68.260002,25.674999,62.490002,58.169998,21.540001,13.776091,50.990002
2010-06-10,8.946786,122.06501,69.370003,26.225,63.84,58.5,22.200001,14.14611,51.220001
2010-06-11,9.053929,122.801147,69.540001,25.825001,63.560001,58.459999,22.690001,14.667932,50.860001
2010-06-14,9.081429,122.848946,69.300003,25.754999,63.849998,58.419998,22.690001,14.544592,51.240002
2010-06-15,9.274643,124.082214,70.400002,26.09,64.239998,59.139999,23.200001,14.724858,51.639999
2010-06-16,9.544643,124.617592,70.290001,26.200001,63.91,59.240002,23.18,14.686907,50.98
2010-06-17,9.709643,125.219887,70.050003,26.18,64.489998,59.18,23.07,14.677419,51.41
2010-06-18,9.788214,124.426384,69.879997,26.155001,64.080002,59.18,23.200001,14.43074,51.549999
2010-06-21,9.648929,124.904396,69.919998,26.24,64.019997,59.130001,23.09,14.326376,51.02
2010-06-22,9.780357,123.61377,68.639999,26.23,63.299999,59.16,22.889999,14.203036,50.68
2010-06-23,9.6775,124.388145,68.629997,26.120001,62.73,59.240002,22.68,14.117647,50.810001
2010-06-24,9.607143,122.552582,67.730003,25.9,62.400002,59.599998,22.219999,13.719165,50.029999
2010-06-25,9.525,121.52964,67.419998,25.129999,60.77,58.700001,22.66,13.889943,48.799999
2010-06-28,9.582143,123.307838,67.330002,25.540001,61.959999,59.450001,22.450001,13.795066,49.57
2010-06-29,9.148929,119.588913,66.459999,25.165001,61.23,59.240002,21.75,13.548387,48.900002
2010-06-30,8.983214,118.049713,65.870003,25.059999,60.950001,59.060001,21.459999,13.529412,48.07
2010-07-01,8.874286,117.179733,66.709999,25.014999,61.52,59.07,21.549999,13.500949,48.34
2010-07-02,8.819286,116.500954,66.139999,25.025,61.529999,59.080002,21.83,13.41556,48.0
