Date,AAPL,IBM,MCD,KO,PEP,JNJ
2011-04-19,0.018111,-0.003254,-0.005195,-0.003268,-0.005063,0.036884
2011-04-20,0.013467,-0.00393,0.023499,0.011328,0.007783,0.027118
2011-04-21,0.024211,0.021426,-0.019005,0.000442,0.001188,-0.00497
2011-04-25,0.006587,-0.003625,0.00286,-0.002062,-0.005637,0.000624
2011-04-26,-0.007337,0.004891,-0.002463,-0.011957,0.010145,0.013102
2011-04-27,-0.000771,0.011158,0.012087,0.001046,0.003249,0.009546
2011-04-28,-0.00971,0.002407,0.002055,0.006119,0.026351,-0.002898
2011-04-29,0.009748,-0.001171,0.003588,0.000742,-0.011905,0.0052
2011-05-02,-0.010996,0.009204,0.004214,0.003854,0.006097,0.007456
2011-05-03,0.005545,0.004182,0.003815,0.002363,0.00404,0.000755
2011-05-04,0.003935,-0.013016,0.001647,-0.006187,0.003449,-0.008904
2011-05-05,-0.008067,-0.01266,-0.005944,-0.011266,-0.01432,-0.01005
2011-05-06,-0.00026,0.002553,0.001272,0.002999,0.006392,0.003999
2011-05-09,0.002712,0.001243,0.007751,0.000747,0.00794,0.005516
2011-05-10,0.005322,0.007569,0.005044,0.005825,0.003008,0.001981
2011-05-11,-0.006353,-0.005165,-0.002509,-0.000297,0.002428,0.012317
2011-05-12,-0.001901,0.016165,0.014464,0.014706,0.010826,0.009314
2011-05-13,-0.017515,-0.01347,0.000992,-0.001903,-0.005637,-0.008483
2011-05-16,-0.021145,-0.006238,0.004954,-0.005133,0.002268,-0.003753
2011-05-17,0.008521,0.009712,-0.002588,0.002359,0.005515,0.000452
2011-05-18,0.011097,-0.000352,0.007043,0.00456,0.00225,0.001506
2011-05-19,0.001942,0.00088,0.012393,0.002343,0.007156,-0.001654
2011-05-20,-0.015593,-0.002521,-0.002182,-0.002337,-0.006687,-0.010544
2011-05-23,-0.002446,-0.011166,0.002065,-0.01186,-0.003647,-0.001979
