Date,AAPL,IBM,MCD
2011-03-04,12.857143,154.713196,76.029999
2011-03-07,12.691429,152.896744,76.290001
2011-03-08,12.705714,155.143402,75.540001
2011-03-09,12.588214,158.565964,75.779999
2011-03-10,12.381071,154.894836,76.68
2011-03-11,12.571071,155.286804,76.730003
2011-03-14,12.627143,154.292542,75.669998
2011-03-15,12.336786,152.026764,75.120003
2011-03-16,11.786071,146.271515,73.379997
2011-03-17,11.951429,147.399612,73.400002
2011-03-18,11.809643,149.034424,72.989998
2011-03-21,12.117857,150.745697,73.760002
2011-03-22,12.185714,151.05162,73.870003
2011-03-23,12.113929,152.514343,74.529999
2011-03-24,12.320357,153.001907,74.93
2011-03-25,12.555,155.047806,75.25
2011-03-28,12.515714,154.273422,75.0
2011-03-29,12.534286,155.71701,75.370003
2011-03-30,12.451071,156.40535,75.809998
2011-03-31,12.446786,155.898666,76.089996
2011-04-01,12.305714,157.045883,75.989998
2011-04-04,12.185357,157.026764,76.389999
2011-04-05,12.103214,156.778198,76.599998
2011-04-06,12.072857,156.826004,76.720001
2011-04-07,12.074286,157.151047,76.010002
2011-04-08,11.966429,156.835571,76.040001
2011-04-11,11.814286,156.73996,76.25
2011-04-12,11.871429,156.07074,76.660004
2011-04-13,12.004643,156.73996,76.889999
2011-04-14,11.872143,157.715103,77.07
2011-04-15,11.695,158.900574,77.379997
2011-04-18,11.851786,158.642441,77.0
2011-04-19,12.066429,158.12619,76.599998
2011-04-20,12.228929,157.504776,78.400002
2011-04-21,12.525,160.879547,76.910004
2011-04-25,12.6075,160.296371,77.129997
2011-04-26,12.515,161.080307,76.940002
2011-04-27,12.505357,162.877625,77.870003
2011-04-28,12.383929,163.269592,78.029999
2011-04-29,12.504643,163.0784,78.309998
2011-05-02,12.367143,164.579346,78.639999
2011-05-03,12.435714,165.267685,78.940002
2011-05-04,12.484643,163.116638,79.07
2011-05-05,12.383929,161.05162,78.599998
2011-05-06,12.380714,161.462708,78.699997
2011-05-09,12.414286,161.663483,79.309998
2011-05-10,12.480357,162.887192,79.709999
2011-05-11,12.401071,162.045883,79.510002
2011-05-12,12.3775,164.66539,80.660004
2011-05-13,12.160714,162.447418,80.739998
2011-05-16,11.903571,161.434036,81.139999
2011-05-17,12.005,163.001907,80.93
2011-05-18,12.138214,162.94455,81.5
2011-05-19,12.161786,163.087952,82.510002
2011-05-20,11.972143,162.676865,82.330002
2011-05-23,11.942857,160.860428,82.5
2011-05-24,11.863929,160.602295,82.639999
2011-05-25,12.027857,160.372849,82.720001
2011-05-26,11.964286,159.827911,82.43
2011-05-27,12.050357,160.13385,81.620003
2011-05-31,12.4225,161.500961,81.540001
2011-06-01,12.339643,159.235184,80.980003
2011-06-02,12.360714,158.785858,80.75
2011-06-03,12.265714,157.79158,80.540001
2011-06-06,12.072857,157.504776,80.699997
2011-06-07,11.858571,156.491394,81.139999
2011-06-08,11.865714,157.112808,81.150002
2011-06-09,11.838929,157.59082,81.260002
2011-06-10,11.639286,156.00383,80.360001
2011-06-13,11.664286,155.994263,80.730003
2011-06-14,11.872857,156.902481,81.470001
2011-06-15,11.669643,155.191208,81.239998
2011-06-16,11.612857,155.516251,81.809998
2011-06-17,11.437857,157.20842,82.519997
2011-06-20,11.261429,157.762909,82.690002
2011-06-21,11.617857,158.910141,82.800003
2011-06-22,11.521786,158.393875,82.650002
2011-06-23,11.829643,158.814529,82.290001
2011-06-24,11.655357,157.810699,81.839996
2011-06-27,11.858571,160.248566,82.32
2011-06-28,11.973571,162.533463,84.349998
2011-06-29,11.93,163.040146,84.57
2011-06-30,11.988214,164.005737,84.32
2011-07-01,12.259286,166.864243,85.650002
2011-07-05,12.479643,167.715103,85.639999
2011-07-06,12.562857,169.894836,85.860001
2011-07-07,12.757143,168.718933,86.059998
2011-07-08,12.846786,168.728485,85.599998
2011-07-11,12.642857,167.294449,85.349998
2011-07-12,12.633929,166.395798,84.989998
2011-07-13,12.786429,166.653915,84.959999
2011-07-14,12.7775,166.567871,85.809998
2011-07-15,13.032857,167.820267,85.480003
2011-07-18,13.35,167.571701,85.400002
2011-07-19,13.458929,177.065002,86.209999
2011-07-20,13.817857,175.573608,86.269997
2011-07-21,13.831786,176.768646,86.540001
2011-07-22,14.046429,177.036331,88.559998
2011-07-25,14.232143,175.621414,88.120003
2011-07-26,14.4075,174.885284,88.019997
2011-07-27,14.021071,173.374756,87.089996
2011-07-28,13.993571,173.804977,86.779999
2011-07-29,13.945714,173.852768,86.480003
2011-08-01,14.169643,172.801147,86.389999
2011-08-02,13.889643,170.219879,85.059998
2011-08-03,14.020357,170.965576,85.540001
2011-08-04,13.4775,163.938812,84.279999
2011-08-05,13.343571,165.372849,85.080002
2011-08-08,12.614643,158.910141,82.110001
2011-08-09,13.3575,163.107071,85.959999
2011-08-10,12.988929,155.391968,84.080002
2011-08-11,13.346429,159.397705,86.279999
2011-08-12,13.463929,160.803055,86.5
2011-08-15,13.693214,165.382416,86.82
2011-08-16,13.588571,163.709366,86.669998
2011-08-17,13.587143,163.938812,87.5
2011-08-18,13.073214,156.625244,85.610001
2011-08-19,12.715357,150.611862,87.230003
2011-08-22,12.73,151.988525,87.760002
2011-08-23,13.342857,157.093689,89.529999
2011-08-24,13.435,159.426392,90.129997
2011-08-25,13.347143,158.298279,88.709999
2011-08-26,13.699286,161.701721,89.93
2011-08-29,13.9275,165.028687,90.790001
2011-08-30,13.928214,164.923523,90.779999
2011-08-31,13.743929,164.349899,90.410004
2011-09-01,13.608214,162.839386,90.07
2011-09-02,13.358929,159.636703,89.089996
2011-09-06,13.562143,157.848953,88.82
