Date,Open,High,Low,Close,Adj Close,Volume
2022-05-17,175.309998,175.679993,172.580002,174.460007,164.999542,5012200
2022-05-18,173.690002,173.869995,162.919998,163.649994,154.775726,8875400
2022-05-19,162.500000,162.779999,159.669998,161.199997,152.458588,6423800
2022-05-20,162.240005,163.059998,159.619995,162.210007,153.413803,5768800
2022-05-23,164.210007,166.949997,163.570007,165.600006,156.619995,4657800
2022-05-24,166.020004,168.259995,165.160004,167.820007,158.719589,6327600
2022-05-25,167.850006,169.490005,166.960007,168.970001,159.807220,5781000
2022-05-26,168.960007,171.089996,168.960007,170.110001,160.885422,5193800
2022-05-27,171.259995,171.809998,170.199997,171.770004,162.455414,6713500
2022-05-31,170.979996,170.979996,165.369995,167.750000,158.653412,13610000
2022-06-01,168.179993,168.380005,163.820007,166.490005,157.461716,5613900
2022-06-02,165.619995,166.750000,162.649994,166.679993,158.737869,4677300
2022-06-03,165.860001,166.589996,164.360001,164.850006,156.995071,4222000
2022-06-06,166.460007,167.619995,164.729996,165.539993,157.652191,3447800
2022-06-07,165.679993,166.860001,164.220001,166.559998,158.623581,4168300
2022-06-08,165.740005,166.809998,165.110001,165.729996,157.833130,2646800
2022-06-09,165.190002,166.929993,162.669998,162.779999,155.023712,3522900
2022-06-10,160.970001,163.919998,159.449997,162.520004,154.776077,5203300
2022-06-13,160.529999,162.869995,159.059998,159.740005,152.128555,6300700
2022-06-14,160.000000,160.050003,154.860001,156.119995,148.681030,6159200
2022-06-15,157.919998,159.839996,155.929993,157.789993,150.271454,5940100
2022-06-16,156.630005,158.460007,155.110001,157.029999,149.547684,7207900
2022-06-17,157.029999,158.990005,156.169998,157.059998,149.576263,9881800
2022-06-21,158.169998,160.960007,157.350006,160.710007,153.052322,4449600
2022-06-22,160.330002,162.990005,159.559998,162.029999,154.309433,4706500
2022-06-23,163.779999,165.139999,163.149994,164.100006,156.280807,5810700
2022-06-24,165.639999,166.190002,163.940002,166.130005,158.214081,5951500
2022-06-27,165.869995,167.130005,165.339996,166.350006,158.423599,4595800
2022-06-28,167.149994,168.449997,163.850006,164.009995,156.195084,4372900
2022-06-29,166.059998,167.559998,165.350006,166.729996,158.785477,3653600
2022-06-30,167.130005,167.580002,165.630005,166.660004,158.718811,6295100
2022-07-01,166.740005,169.520004,165.759995,169.389999,161.318726,3918700
2022-07-05,168.630005,169.389999,165.330002,169.009995,160.956863,4971600
2022-07-06,170.000000,171.949997,169.479996,170.699997,162.566315,4209100
2022-07-07,169.520004,171.039993,169.380005,170.360001,162.242508,5150200
2022-07-08,170.570007,172.699997,170.550003,171.880005,163.690094,3482900
2022-07-11,171.410004,172.800003,170.020004,170.470001,162.347305,4921300
2022-07-12,173.000000,173.320007,168.869995,169.500000,161.423508,5201600
2022-07-13,168.539993,171.440002,167.979996,170.100006,161.994904,4533100
2022-07-14,168.289993,171.160004,167.699997,170.979996,162.832962,4218300
2022-07-15,171.339996,172.919998,170.020004,171.119995,162.966309,4659100
2022-07-18,171.149994,171.240005,167.850006,168.259995,160.242584,3479700
2022-07-19,170.250000,170.750000,168.630005,170.059998,161.956833,4201600
2022-07-20,170.050003,170.570007,167.460007,168.259995,160.242584,3460700
2022-07-21,167.990005,169.410004,167.559998,168.509995,160.480667,3088300
2022-07-22,169.139999,170.570007,168.490005,169.610001,161.528259,3757800
2022-07-25,170.309998,170.860001,169.039993,169.850006,161.756851,3357200
2022-07-26,170.570007,171.990005,169.240005,171.830002,163.642487,3732100
2022-07-27,170.490005,171.949997,169.059998,171.589996,163.413925,4479000
2022-07-28,171.869995,175.119995,171.190002,174.839996,166.509048,3134200
2022-07-29,173.660004,175.479996,173.389999,174.960007,166.623367,4215500
2022-08-01,174.550003,177.690002,174.550003,176.949997,168.518509,4034600
2022-08-02,176.940002,177.149994,175.220001,175.490005,167.128098,3781100
2022-08-03,175.080002,177.059998,174.240005,176.830002,168.404236,4401300
2022-08-04,176.419998,176.740005,174.580002,175.869995,167.489975,3822500
2022-08-05,174.389999,174.699997,172.399994,174.550003,166.232864,3295600
2022-08-08,175.789993,175.970001,173.320007,173.850006,165.566238,2846100
2022-08-09,174.789993,175.229996,173.960007,174.500000,166.185257,3228800
2022-08-10,175.809998,176.429993,174.720001,175.940002,167.556641,4041100
2022-08-11,176.360001,177.119995,174.669998,175.039993,166.699509,2743800
2022-08-12,175.929993,177.380005,175.380005,177.330002,168.880402,3756200
2022-08-15,177.770004,179.360001,176.800003,179.279999,170.737488,3043100
2022-08-16,179.779999,180.699997,178.639999,180.320007,171.727936,3395700
2022-08-17,180.100006,181.070007,179.720001,180.220001,171.632721,2666200
2022-08-18,180.820007,180.929993,179.940002,180.399994,171.804123,3010600
2022-08-19,179.759995,181.009995,179.320007,180.169998,171.585083,3704000
2022-08-22,180.139999,180.470001,178.020004,178.449997,169.947037,3385000
2022-08-23,177.820007,178.860001,177.289993,178.369995,169.870865,2575000
