Date,AAPL,IBM,MCD
2011-02-03,-0.002556,0.001408,0.00258
2011-02-04,0.00891,0.002874,0.00298
2011-02-07,0.015527,0.005,-0.008103
2011-02-08,0.009435,0.007463,0.026004
2011-02-09,0.008333,-0.008431,0.007564
2011-02-10,-0.010107,-0.003401,-0.002239
2011-02-11,0.006515,-0.001463,0.005016
2011-02-14,0.006529,-0.003845,0.001313
2011-02-15,0.002005,-0.002328,-0.00118
2011-02-16,0.008975,0.003439,-0.001707
2011-02-17,-0.013301,0.005141,-0.000526
2011-02-18,-0.023694,-0.006196,-0.003087
2011-02-22,-0.034088,-0.017532,-0.005648
2011-02-23,0.011843,-0.010929,-0.006737
2011-02-24,0.000759,0.003683,0.000266
2011-02-25,0.015399,0.009392,-0.010238
2011-02-28,0.014505,-0.002465,0.016658
2011-03-01,-0.011042,-0.011799,-0.010439
2011-03-02,0.008044,0.001188,-0.002671
2011-03-03,0.021129,0.020729,0.020752
2011-03-04,0.001224,-0.010093,-0.002754
2011-03-07,-0.012889,-0.011741,0.00342
2011-03-08,0.001126,0.014694,-0.009831
2011-03-09,-0.009248,0.022061,0.003177
2011-03-10,-0.016455,-0.023152,0.011876
2011-03-11,0.015346,0.002531,0.000652
2011-03-14,0.00446,-0.006403,-0.013815
2011-03-15,-0.022995,-0.014685,-0.007268
2011-03-16,-0.04464,-0.037857,-0.023163
2011-03-17,0.01403,0.007712,0.000273
2011-03-18,-0.011864,0.011091,-0.005586
2011-03-21,0.026099,0.011482,0.010549
2011-03-22,0.0056,0.002029,0.001491
2011-03-23,-0.005891,0.009684,0.008935
2011-03-24,0.017041,0.003197,0.005367
2011-03-25,0.019045,0.013372,0.004271
2011-03-28,-0.003129,-0.004994,-0.003322
2011-03-29,0.001484,0.009357,0.004933
2011-03-30,-0.006639,0.00442,0.005838
2011-03-31,-0.000344,-0.00324,0.003693
2011-04-01,-0.011334,0.007359,-0.001314
2011-04-04,-0.009781,-0.000122,0.005264
2011-04-05,-0.006144,9.1e-05,0.003415
2011-04-06,-0.002508,0.000305,0.001567
2011-04-07,0.000118,0.002073,-0.009254
2011-04-08,-0.008933,-0.002007,0.000395
2011-04-11,-0.012714,-0.00061,0.002762
2011-04-12,0.004837,-0.00427,0.005377
2011-04-13,0.011221,0.004288,0.003
2011-04-14,-0.00185,0.005902,0.003511
2011-04-15,-0.014921,0.007517,0.004022
2011-04-18,0.013406,-0.001624,-0.004911
2011-04-19,0.018111,-0.003254,-0.005195
2011-04-20,0.013467,-0.00393,0.023499
2011-04-21,0.024211,0.021426,-0.019005
2011-04-25,0.006587,-0.003625,0.00286
2011-04-26,-0.007337,0.004891,-0.002463
2011-04-27,-0.000771,0.011158,0.012087
2011-04-28,-0.00971,0.002407,0.002055
2011-04-29,0.009748,-0.001171,0.003588
2011-05-02,-0.010996,0.009204,0.004214
2011-05-03,0.005545,0.004182,0.003815
